paper_id,title,authors,year,venue,relevance_class,relevance_reason,task,method_category,algorithm,robot,action,low_level_controller,vision_used,object_position_condition,object_orientation_condition,object_pose_source,object_shape_condition,object_shape_source,object_physical_parameters,tactile_used,tactile_sensor,tactile_raw,tactile_preprocessing,tactile_representation,tactile_retained_information,tactile_removed_information,ft_used,ft_source,ft_representation,ft_role,proprioception_used,history_used,previous_action_used,state_estimator,other_observation,missing_object_information,supplementary_information,supplementary_information_role,actor_privileged_gt,critic_privileged_gt,reward_gt,termination_gt,curriculum_gt,ft_contact_localization,ft_required_assumptions,ft_reported_ambiguity,tactile_added_to_ft_reason,evidence_type,evidence_summary,evidence_location,author_limitation,author_future_work,analysis_note_path
B016,"Coarse-to-Fine Robotic Pushing Using Touch, Vision and Proprioception",Bowen Deng; Yijiong Lin; Max Yang; Nathan F. Lepora,2025,IEEE Robotics and Automation Letters 10(2):1545–1552,Relevant,물체 local contact pose를 3개 성분으로 축약한 tactile estimator와 proprioception을 결합해 pushing한다. 이 표현에서 없는 물체 전체 위치·방향 및 초기 접근 정보는 vision의 단계별 재위치 추정과 bounding rectangle로 보완한다. Multi-stage와 single-stage 비교가 있지만 tactile-only/vision-only 센서 제거 실험과는 다르다.,Planar pushing to target position and orientation; packing objects,State Estimation + Controller; tactile servoing; rule-based multi-stage,Not applicable: non-RL,Dobot MG400; TacTip; Realsense D435,EEF position updates; discrete pushes; multi-stage target-bearing control,Position control; tactile servo plus target alignment; detailed gains Not stated,Yes: continuous coarse localization; reused before final push; ArUco for evaluation,기타,기타,Phase-dependent visual bottleneck pose; tactile local contact depth/normal; no continuously supplied full object pose during fine push,Initial,Visual minimum bounding rectangle dimensions/axis; no full mesh,No controller mass/friction input stated,Yes,TacTip optical tactile sensor,Real tactile image; simulated 256×256 contact depth image,Paired-image GAN real-to-sim translation; PoseNet,3-component surface contact pose: normal depth and two orientation angles,Local contact depth; surface normal orientation,Uniform-surface tangential position unobservable (explicit); full pressure/shear map not in 3D representation,No,No,Not applicable,Not applicable,Yes: EEF pose for target alignment,Not stated,Not stated,Visual bottleneck relative pose; tactile contact PoseNet,Target position/orientation; stage; rectangle dimensions; evaluation-only ArUco,No tactile tangential location/full global pose; no orientation target control from single-stage pushing,Vision; EEF proprioception; goal; limited shape; multi-stage relocalization,Initial contact localization; goal alignment; orientation/position control via staged pushes,Not applicable: non-RL,Not applicable: non-RL,Not applicable: non-RL,Not applicable: non-RL; stage termination uses EEF constraints/geometry,Not applicable: non-RL; supervised pose labels/simulated contact images/paired GAN images,Not applicable,Not applicable,Not applicable; not directly discussed,Not applicable,Controlled comparison; Author explanation only; Failure analysis,"Multi-stage vs single-stage (30 trials/object); real cuboid x5.4→2.4 mm and y6.9→2.9 mm, p<0.0001; no independent sensor ablation","§III-A2, p.3; §IV, pp.5–6; Table III","Slow discrete pushes; accuracy effect unresolved; preprocessing fails some shapes (§V, pp.7–8)","Continuous control; 3D point cloud/3D manipulation; dynamic tasks (§V, pp.7–8)",papers/2025-deng-coarse-to-fine-robotic-pushing.md
B019,Force Policy: Learning Hybrid Force-Position Control Policy under Interaction Frame for Contact-Rich Manipulation,Hongjie Fang; Shirun Tang; Mingyu Mei; Haoxiang Qin; Zihao He; Jingjing Chen; Ying Feng; Chenxi Wang; Wanxi Liu; Zaixing He; Cewu Lu; Shiquan Wang,2026,Not stated (arXiv preprint),Relevant,"손목/플랜지 F/T와 운동 이력으로 접촉 제어 좌표계와 힘·위치 제어 축을 구성한다. 동일한 힘·운동 신호만으로 마찰과 탄성 변형을 구별하기 어려워 시각·과업 의미 정보를 학습 라벨 생성에 추가한다. F/T의 정보적 한계와 추가 가정, 시각과 힘의 실행 역할을 직접 비교할 수 있다.",Pushing and flipping; EV charger insertion; sticker application,Imitation Learning; Hybrid force-position control,RISE-2 global policy; MIP local policy; GRU; FiLM,Flexiv Rizon 4; GN02 gripper,IF-relative EEF pose; 6D reference wrench; 6-axis force/position mask,IF hybrid force-position control; contact-aware scheduler,Yes; global point cloud and wrist RGB during execution,기타,기타,Online visual features; no explicit object-pose vector identified,기타,Current scene point cloud; wrist RGB; no explicit CAD/mesh,No explicit numeric physics input; offline semantic regime labels,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Flange 6-axis F/T sensor,Gravity-compensated 6D wrench; IF wrench; history,Policy input; frame supervision; hybrid force regulation; contact routing,Yes; EEF pose/twist history,Yes; pose/wrench GRU; scheduler trajectory history,Not stated as policy input; scheduler uses executed trajectory,Interaction frame orientation/subspace; no exact contact-point estimate,Online wrist RGB; global latent; offline initial image/task semantics; history lengths Not stated,Exact contact point/full contact structure; explicit current object pose,F/T; EEF motion history; online vision; offline semantic prior,Infer control subspaces; disambiguate friction/stiffness labels; global visual guidance,Not applicable; imitation learning,Not applicable,Not applicable,Not applicable,Not applicable; real teleoperation plus semantic/analytic label supervision,No; IF origin fixed at EEF; orientation/subspace only,Local conservative elasticity; invariant contact topology; symmetry; gravity compensation; negligible demo inertia; dominant regime prior,Friction vs stiffness power ambiguity; wrench-only axis bias; exact contact point not estimated,Not applicable,Representation ablation; Controlled comparison; Failure analysis,Hard sticker IF labels 50% wrench-only vs90% proposed; entire-system comparisons confounded by scheduler/control changes,Table II p.7; Fig.6 p.8; Table V p.19; Supplement V-E p.20,"이론은 접촉 topology가 유지되는 국소 conservative response를 전제로 하며 fracture 등 급격한 비보존 전이는 다루지 않는다. 검증 범위는 주로 surface contact와 insertion이다. 정확한 contact point/완전한 contact structure는 추정하지 않는다. EV charger의 약160 N 삽입은 로봇 torque limit 근처여서 작은 예측 오차에도 보호 정지가 발생한다. (§VI, pp.8–9; Supplement V-E, p.20)","더 복잡한 접촉 과업, contact structure를 모델링한 torque control, connector를 당겨 체결을 확인하는 것과 같은 high-level force-driven decision을 향후 방향으로 명시한다. Saturation 근처 force control의 정밀화도 남아 있다. (§VI, p.9; Supplement V-E, p.20)",papers/2026-fang-force-policy.md
B020,Learning Visuotactile Estimation and Control for Non-prehensile Manipulation under Occlusions,Juan Del Aguila Ferrandis; João Moura; Sethu Vijayakumar,2024,8th Conference on Robot Learning (CoRL 2024),Relevant,가려진 물체의 pose를 force·EEF pose·과거 시각 정보로 추정하고 불확실성까지 RL 정책에 제공한다. Privileged policy를 이용한 데이터 생성과 실제 배포 정책 입력이 명확히 다르다. 제목의 tactile은 여기서 wrist F/T 기반 force feedback이며 별도 촉각 배열과 혼동하지 않아야 한다.,Planar non-prehensile pushing under occlusions,State estimation; Reinforcement Learning,PPO; LSTM Bayesian estimator; MC dropout,KUKA iiwa; spherical pusher,Discrete x/y pusher velocity;11 bins each;15Hz,OpTaS velocity-to-joint configuration,Yes; onboard AprilTag; stale during occlusion,Tracking,Tracking,Visual pose plus recurrent force/proprioceptive state estimator; planar x/y/yaw,기타,Fixed cuboid/pusher geometry in training; no explicit geometry channel,No runtime parameters; mass/friction/restitution randomized,No separate tactile sensor; paper calls force sensing tactile,Not applicable; wrist F/T recorded separately,Not applicable,Not applicable,Not applicable; binary flag denotes occlusion,Not applicable,Not applicable,Yes,Wrist F/T,EEF force; clip±10N and normalize; exact axes/moments Not stated,Object-pose estimation; policy input,Yes; EEF pose,Yes; estimator LSTM; actor/value LSTM,Not stated,Planar object pose plus aleatoric/epistemic uncertainty,Occlusion flag; target input encoding Not stated,Visual pose frozen during occlusion,EEF force; EEF pose; last visual pose; recurrent state; uncertainty,Update object-pose estimate; adapt control to estimator uncertainty,Deployment No; data-generation teacher Yes,Not stated; recurrent value architecture only,Yes; simulator object pose/target distance and pusher velocity,Yes; target/workspace states; time horizon,Yes; privileged-policy data generation; GT pose supervision,Not direct; object-pose estimation with visual/proprioceptive history,Fixed object/pusher geometry; training distribution coverage; EEF pose; previous vision,Pusher dynamics produce noncontact force; multi-contact ambiguity not discussed,Not applicable,Input ablation; Representation ablation; Controlled comparison; Author explanation only,"Uncertainty-aware94%, no uncertainty input92%, MSE estimator64%; no pure force-removal ablation",Table2 p.6; Fig2–4 p.7; hardware p.8,"학습형 estimator는 방대한 interaction data와 충분한 상태 공간 coverage가 필요하다. Pusher/object geometry를 고정했고 다양한 기하 및 다른 non-prehensile 과업 일반화는 검증하지 않았다. Pusher dynamics가 force measurement에 주는 영향을 simulation에서 생략했다. 추정 uncertainty 자체의 정량적 calibration 평가는 하지 않았다. (§7, p.8)","Pusher dynamics를 학습에 포함하고 uncertainty로 실패 예측, fallback recovery, estimator 데이터 coverage 확대를 수행할 수 있다고 명시한다. (§6–7, p.8)",papers/2024-del-aguila-ferrandis-visuotactile-estimation-occlusions.md
B021,FILIC: Dual-Loop Force-Guided Imitation Learning with Impedance Torque Control for Contact-Rich Manipulation Tasks,Haizhou Ge; Yufei Jia; Zheng Li; Yue Li; Zhixing Chen; Lu Shi; Lei Han; Ruqi Huang; Guyue Zhou,2026,Not stated (arXiv preprint),Relevant,관절 토크를 digital twin과 Jacobian으로 보정·변환한 EEF wrench의 역할을 조사한다. 동일 시각·EEF position 입력에서 raw joint torque와 estimated force를 비교하므로 접촉 정보 표현의 유용성에 직접적인 근거를 제공한다. 독립 wrist F/T를 사용한 방법과 명확히 구별할 수 있다.,Peg/adapter insertion; emergency-stop operation; clamp fixation; cap tightening,Imitation Learning; Impedance control; Model-based wrench estimation,ACT-style Transformer; digital twin Jacobian inversion,6-DOF AIRBOT Play,Cartesian target-pose chunk;25Hz,IK; fixed joint impedance;2kHz torque;250Hz dynamics compensation,Yes; two online RGB streams,기타,기타,Implicit RGB; no explicit object-pose input,기타,RGB/task demonstrations; fixed simulated peg/hole,No explicit object parameters; robot dynamics model required,No,Not applicable,Not applicable,Not applicable,Not applicable; demonstrator vibration is not robot sensing,Not applicable,Not applicable,Yes; estimated wrench,Joint torque and digital twin; not wrist F/T,Estimated six-axis EEF wrench via Jacobian-transpose pseudoinverse,Policy contact cue; demonstrator force feedback,Yes; policy EEF pose; estimator/controller q/v/torque,Action chunk temporal ensemble; sensor-history length Not stated,Not stated,Digital-twin external EEF wrench estimator,Two RGB images; training-only CVAE latent from action sequence,Contact/tightness/state cues weak in vision-position alone,Estimated EEF wrench,Task-aligned force/torque cues for contact correction and completion,Not applicable; imitation learning,Not applicable,Not applicable,Not applicable,Not applicable; demonstration and CVAE supervision,"No; known EEF wrench mapping, not contact-point localization",Robot model/Jacobian; synchronized dynamics; EEF external wrench; quasi-static impedance,Model inaccuracies; noise/friction/compliance; contact-locality ambiguity not directly discussed,Not applicable,Input ablation; Representation ablation; Controlled comparison; Failure analysis,Simulation68/80/90% for position/JT/estimated force; four real tasks favor estimated wrench,TablesII–III p.7; Fig4 p.6,"Force reconstruction은 modeled robot dynamics에 의존하고 fixed impedance를 사용한다. Controller는 quasi-static 근사에 따라 inertial term을 생략한다. (§IV-A–B, pp.4–5; §VI, p.7)","Variable impedance를 통한 dynamic compliance, modeling error에 강한 force estimation, implicit force reasoning을 제시한다. (§VI, p.7)",papers/2026-ge-filic.md
B023,Proprioceptive Sensor-Based Simultaneous Multi-Contact Point Localization and Force Identification for Robotic Arms,Seo Wook Han; Min Jun Kim,2023,Not stated (arXiv preprint),Relevant,"조작 정책은 아니지만 joint torque와 base F/T를 이용한 접촉점·접촉력 추정의 성립 조건과 모호성을 직접 분석한다. Robot surface mesh, dynamics, 순차적 점 접촉 등의 추가 제약을 요구하며 base F/T를 더해도 singularity가 남는 실패 사례를 제시한다.",Multi-contact point localization and force identification,State Estimation; Model-based; Optimization,MCP-EP particle filter; friction-constrained QP,Simulated7DOF Franka Emika Panda,Not applicable; estimator output contact points/forces,Not applicable,No,기타,기타,Not applicable; robot contact estimation,기타,Known robot-link surface mesh and normals; not external object geometry,Robot dynamics; friction cone; coefficient Not stated,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Base6-axis F/T plus JTS; not wrist,Dynamics-compensated base wrench plus external joint torques,Contact localization; force identification; contact-count estimation,Yes; joint q/qdot/torque,Yes; momentum observer and particle belief,Not applicable,Particle-filter contact points and forces,Robot mesh; kinematic/dynamic model; surface normals,Unmeasured robot-surface contact locations and forces,Base wrench; JTS; robot geometry/dynamics; friction cone; sequential-contact prior,Constrain admissible contact hypotheses; increase sensing DOF,Not applicable,Not applicable,Not applicable,Not applicable; evaluation uses true contact locations,Not applicable; simulation evaluation force/location GT,Yes; on known robot surface with JTS/baseFT fusion,Known robot mesh/dynamics; point contact without moment; no pulling; friction cone; ≤1contact/link; sequential onset/convergence,Distinct point/force pairs can have identical measurements; dual-contact local minima,Not applicable,Controlled comparison; Failure analysis; Author explanation only,Single/dual/triple99.96/96.70/81.63%; singularities remain; no matched baseFT-removal ablation,TableI p.5; Fig5–6/TableIII p.6; sensing-DOF analysis p.3,"동일 측정으로 설명되는 다른 contact-force pair의 singularity가 남는다. Dual contact에서는 정확히 같지 않아도 유사한 측정을 설명하는 local minima가 주 실패 원인이다. Offline mesh distance는 link 내부에서만 유효하여 exploration particles가 필요하다. Point contact·한 link당1접촉·순차 발생 가정 아래 검증했다. (§II–IV, pp.2–6)","원문에서 명시적인 향후 연구 계획을 확인하지 못했다. (§V Conclusion, p.6)",papers/2023-han-proprioceptive-multi-contact-localization.md
B025,Visuotactile-RL: Learning Multimodal Manipulation Policies with Deep Reinforcement Learning,Johanna Hansen; Francois Hogan; Dmitriy Rivkin; David Meger; Michael Jenkin; Gregory Dudek,2022,"IEEE ICRA 2022, pp.8298–8304",Relevant,시각·촉각·proprioception 조합과 tactile gate/augmentation을 비교하여 각 modality가 어떤 조건에서 유용한지 조사한다. Binary contact gate는 존재하지만 촉각 자체는 연속 depth image여서 축약 촉각과 혼동하지 않아야 한다. 시각 교란 및 물성 변화 실험이 추가 센서 역할의 근거를 제공한다.,Texture contact reaching; door opening; tactile grasp/lift,Reinforcement Learning,MP-DrQv2; DDPG-based; DrTD3 baseline,Simulated Panda; palm or two-finger gripper,EEF pose; exact component encoding Not stated,OSC20Hz,Yes in main combination; no in tactile-proprio baseline,기타,기타,Implicit online RGB; no explicit object-pose vector,기타,RGB/contact geometry images; task-specific priors,No actor parameters; randomized friction/weight,Yes,Simulated optical tactile; palm1 or fingertip2,Contact geometry depth image,Depth clipping;3frame stack;random shift;contact hard gate;CNN,Continuous depth-image latent; not binary tactile,Spatial contact location/shape/depth; temporal changes,Outside-contact geometry absent; latent information loss undetermined; no calibrated shear/force output,No,Not applicable,Not applicable,Not applicable,Yes; joint position/velocity,Yes;3frames,Not stated,No explicit estimator,Goal texture channel Not stated; binary gate is not binary tactile,Visual-invisible contact texture; intermittent tactile; perturbed vision/physics,RGB; tactile depth; joint state;3frame history,Vision for approach; tactile contact cues; multimodal robustness,No explicit object GT; pixels and proprioception,No separate privileged input reported; shared core plus action,Partly stated; simulator contact/benchmark reward; full GT channels Not stated,Not stated; success criteria are not termination implementation,Yes; simulator pose/geometry/physics randomization,Not applicable,Not applicable,Not applicable,Not applicable,Sensor combination ablation; Representation ablation; Controlled comparison,"Sensor/gating/augmentation comparison; cumulative rewards, not success rates; simulation only",TableI p.6; Fig5–7 p.5,"Tactile은 간헐적이고 학습 초기에 드물어 multimodal 모델이 vision에 과도하게 의존할 수 있다고 지적한다. Tactile image shift는 원래 contact relative state를 보존하지 않는다. Visual degradation은 tactile 활용을 늘려도 전체 성능을 낮출 수 있고 tactile gating 이득은 task에 따라 다르다. (§III-A/IV/VI, pp.3–6)",Tactile signal 존재에 따라 조건부 camera degradation을 적용하는 방향을 추가 연구 대상으로 명시한다. 장기 목표는 multimodal contact-rich manipulation control이다. (§II p.2; §VI.3 p.6),papers/2022-hansen-visuotactile-rl.md
B026,Force Push: Robust Single-Point Pushing With Force Feedback,Adam Heins; Angela P. Schoellig,2024,"IEEE Robotics and Automation Letters 9(8), pp.6856–6863",Relevant,"Current object pose와 물체 모델 없이 wrist F/T planar force로 single-point pushing을 제어한다. 다만 robot localization, EEF상 알려진 contact point, approximate initial object position, convex·quasistatic 단일 물체라는 제약이 있으므로 force-only라는 표현의 범위를 정확히 분리할 수 있다.",Single-point planar pushing; straight/curved path; obstacle contact,Rule-based feedback; Admittance; Optimization,Force-angle feedback; IK-QP,UR10 fixed arm on Ridgeback omnidirectional base,Planar EEF velocity,QP IK to mobile-base velocities; admittance,No object vision in controller; Vicon robot localization; slider Vicon evaluation only,Initial,미제공,Approximate initial position only; source Not stated,미제공,No explicit geometry; convex non-articulated-body prior,Unknown mass/CoM/inertia/friction/pressure distribution,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Wrist Robotiq FT300,Planar2D force; magnitude/direction; exponential smoothing,Push-direction feedback; contact detection/recovery; admittance overload mitigation,Yes; global robot localization and known EEF point,Filter state; previous pushing direction,Yes; previous commanded direction in contact recovery,No object-state estimator,Desired path; known walls and robot body geometry,Current object pose; explicit geometry/physics,Planar force; localized robot/contact point; approximate initial position; quasistatic prior,Closed-loop pushing/path correction; contact recovery without object tracking,Not applicable,Not applicable,Not applicable,Not applicable; object Vicon used in evaluation,Not applicable,No; contact point assumed fixed on localized EEF,Single-point push; convex single body; quasistatic; known global EEF; initial position; low contact height; maneuvering space,Noisy local force; not full object state; centroid tracking not guaranteed; multi-contact decomposition not discussed,Not applicable,Input ablation; Controlled comparison; Failure analysis,Open-loop fails within2m; force feedback traverses6m; vision baseline condition dependent; admittance reduces overload,Fig11 p.6; Fig13 p.7; Fig14 p.8,"실물 경로는 바닥 마찰 교란 때문에6m 내 완벽히 수렴하지 않으며 controller가 추적하는 것은 slider centroid가 아닌 contact point이다. Force가 noisy하고 local information만 준다. Robot은 원하는 EEF velocity를 실현할 충분한 공간이 있어야 한다. 알려지지 않은 slider geometry/pose 때문에 wall collision 자체를 완전히 피할 수 없다. (§IV-C/VII, pp.4/7)","더 정교한 contact recovery, 좁은 hallway와 clutter, formal stability proof, interaction으로 성능을 개선하는 force controller, force+vision hybrid를 향후 과제로 제시한다. (§IV-B p.4; §VII–VIII pp.7–8)",papers/2024-heins-force-push.md
B027,Perceiving Extrinsic Contacts from Touch Improves Learning Insertion Policies,Carolina Higuera; Joseph Ortiz; Haozhi Qi; Luis Pineda; Byron Boots; Mustafa Mukadam,2023,Not stated (arXiv preprint),Relevant,"손가락–물체 tactile image를 외부 물체–환경 contact patch로 바꾸고 PPO policy에 제공한다. Proprio-only, tactile embedding, estimated patch, GT patch를 비교하므로 축약 표현의 역할과 geometry/grasp prior, training-only GT를 분석하는 데 직접 유용하다.",Mug-in-cupholder; bowl-in-dishrack insertion,State Estimation; Reinforcement Learning,NCF-v2 Transformer; tactile VAE; PPO,Franka Panda; parallel gripper; two DIGIT,Relative6DOF EEF transform;axis-angle rotation,Joint-space IK,No external vision; optical tactile images only,기타,기타,EEF history plus fixed object-gripper relative-pose assumption; no explicit tracking,Initial,Class-dependent reference point cloud; pretrained NDF/query shape features,No explicit runtime parameters,Yes,Two DIGIT optical tactile sensors,Intrinsic contact RGB images,Background subtraction;VAE;5frame embedding;MLP;NCFTransformer,Thresholded extrinsic contact point cloud;MLP/maxpool latent,Object-surface spatial contact patches;multi-patch;contact transition,Threshold drops probability confidence; raw tactile/force channels not directly retained,No,Not applicable,Not applicable,Not applicable,Yes;EEFpose3steps21D,Yes;tactile5frames~0.17s;EEF3poses,Not stated,NCF-v2 extrinsic contact probabilities/patch,Object class/reference shape; fixed grasp transform prior,Unobserved object-environment contact; variable grasp pose not fully recovered,Tactile history;EEFhistory;shape reference;fixed grasp prior,Infer extrinsic spatial contacts for insertion,Main No; GT-contact oracle Yes,Not stated,Yes;current mug pose/keypoints; bowl position;target,"Not stated;horizon specified, success/termination implementation not detailed",Yes;simulated contact supervision and shape data;random initial EEF,Not applicable,Not applicable,Not applicable,Not applicable,Representation ablation; Controlled comparison; Failure analysis,Real mug60% vs27%;bowl+13pp vsproprio;GT-contact oracle separated;fixed-grasp limitation,Fig3 pp.3–4;Fig5–8 p.5;§V-C/VI p.6,"세 object class에 제한되고 grasp 중 object–gripper relative pose가 고정된다고 가정한다. 올바른 reference point cloud를 얻으려면 object class를 미리 알아야 한다. Simulation bowl의 uncontrolled grasp pose에서는 EEF만으로 실제 object pose를 알 수 없어 performance가 낮아진다. (§V-C/VI, p.6)","Vision으로 다양한 object shape의 implicit representation을 학습하는 시스템과 NCF를 통합해 class/reference-shape 제한을 줄이는 방향을 제시한다. (§VI, p.6)",papers/2023-higuera-extrinsic-contacts-insertion.md
B028,Dexterous in-hand manipulation of slender cylindrical objects through deep reinforcement learning with tactile sensing,Wenbin Hu; Bidan Huang; Wang Wei Lee; Sicheng Yang; Yu Zheng; Zhibin Li,2025,Robotics and Autonomous Systems 186 (2025) 104904,Relevant,"세 손가락의 384개 piezoresistive taxel을 Boolean contact로 바꾼 뒤 손가락별 3D contact-center, 즉 9차원으로 축약하여 PPO actor에 제공한다. Contact center, 3-bit finger contact, raw tactile, GT object pose 조합을 같은 network 규모에서 비교하므로 축약 tactile의 정보 보존·손실, proprioception 보완, training-only GT 경계를 직접 분석할 수 있다.",Continuous three-finger in-hand pose tracking of slender cylindrical objects,Reinforcement Learning; Sim-to-real; Tactile representation ablation,PPO; CMA-ES system identification,"Custom TRX Hand; 8 actuated joints, 6 controlled; wrist fixed by robot arm",6 finger-joint desired displacements,Joint-position control; policy 50 Hz; low-level 1 kHz; simulation PD with backlash/self-lock model,No in main execution actor; simulated GT object pose only for reward/termination and comparison baselines,미제공,기타,Main actor has no current object pose; simulation reward/evaluation and ablations use GT endpoints/pose,미제공,"No runtime geometry input; one simulated training stick, qualitative real novel-stick tests",No actor input; weight/radius/friction randomized during training,Yes,Three in-house curved piezoresistive arrays; 128 taxels/fingertip; 100 Hz; 0–2 N/taxel; 0.1 N initial sensitivity,384 continuous normal-force-proportional taxel readings in real hardware; binary target contacts in simulation,Per-trial no-contact mean offset; clamp at zero; empirical fixed threshold to Boolean; mean active-taxel 3D position per fingertip,Three fingertip-local 3D contact centers; 9D,Spatial centroid of each fingertip contact region; sliding contact trajectory,Normal-force magnitude; pressure distribution; patch size/shape; raw taxel pattern; possible multiple-patch structure,Calibration only; not a runtime policy observation,Unspecified force–torque sensor with small tip for single-taxel pressing,Offline tactile-sensitivity reference; no actor wrench vector,Set empirical tactile contact threshold,Yes; measured 6 controlled finger-joint positions,No explicit observation history or recurrent state stated,Not stated,Deterministic contact-center computation from activated taxel coordinates; no object-pose estimator,Desired stick major-axis 3D unit vector,Current object position/orientation; axial rotation; explicit geometry; physical parameters,Finger joint positions; fingertip-local contact centers; desired major-axis direction; training domain randomization,Represent grasp/contact configuration and goal orientation without current object pose,Main No; GT object-pose ablation variants Yes,Not stated,Yes; current/desired stick endpoints and axis plus simulated contact forces,Yes; stick geometry-center height drop threshold,No curriculum stated; GT object pose/contact used to generate initial-state dataset and randomized simulation,No; runtime contact localization comes from tactile taxel geometry,Offline single-taxel press and empirical threshold; no runtime F/T localization,F/T model/axes/specification and calibration uncertainty not stated; no F/T-only evaluation,Not applicable; tactile and F/T are not fused at runtime,Representation ablation; Controlled simulation evaluation; Qualitative real-world validation,"Contact centers outperform raw tactile, 3-bit contact, and GT-pose variants in Fig.9; Table1 reports 0.83–2.32 cm tracking errors; real transfer is qualitative only",§6.1–6.3; Table 1; Fig. 7–12; PDF pp.6–8,"저자들은 실물 stick endpoint의 real-time position을 얻기 어려워 real policy performance의 정량 분석을 수행하지 않았다고 밝힌다. Tactile material deformation은 no-contact drift와 irregular contact margins를 만들며, fixed threshold가 잘못된 contact state를 낼 수 있어 매 trial calibration이 필요하다. Binary tactile은 rigid object 조작에는 가능하지만 pressure 변화·normal-force magnitude를 쓰지 못해 더 정밀한 조작과 더 다양한 물체에는 정보가 부족할 수 있다. Data는 confidential이다. (§6.3/§7/Data availability, PDF pp.7–8)","Tactile reading과 surface pressure 사이의 nonlinear relation을 모델링하고 continuous full tactile signal을 사용해 pressure distribution과 normal-force magnitude를 보존함으로써 더 정밀한 in-hand manipulation과 더 다양한 object로 확장할 계획이다. (§7, PDF p.8)",papers/2025-hu-tactile-slender-in-hand-manipulation.md
B030,Robotic Compliant Object Prying Using Diffusion Policy Guided by Vision and Force Observations,Jeon Ho Kang; Sagar Joshi; Ruopeng Huang; Satyandra K. Gupta,2025,IEEE Robotics and Automation Letters (accepted March 2025; preprint),Relevant,"KUKA의 end-effector-frame 3축 force, wrist RGB, EEF state를 diffusion policy에 결합하고 vision-only·naive force concatenation·projected force·cross-attention fusion을 각각 120회 비교한다. 현재 vision을 계속 사용하고 tactile은 없지만, 저차원 force가 고차원 vision에 묻히는 문제와 contact mode 전환에서 force가 제공하는 정보를 직접 검증하므로 F/T 역할·표현·sensor-fusion 질문에 직접 유용하다.",Compliant battery prying and extraction from spring-loaded/tight casings,Imitation Learning; Diffusion Policy; Vision–force sensor fusion,DDPM diffusion policy; ResNet-18; force-query cross-attention; FiLM U-Net,KUKA IIWA 14 extraction arm; ABB IRB120 support arm; wrist RealSense D415,"6-DoF delta target-pose action sequence; continuous 6D rotation representation; horizon 16, execute 6",Not stated; KUKA executes delta target poses; impedance values mentioned but control law/gains/rate omitted,"Yes; continuous 98×98 wrist RGB, two recent observations",기타,기타,Current wrist RGB plus initial external localizer; no explicit numeric object pose input,기타,End-to-end ResNet-18 wrist RGB; no CAD/mesh input,No explicit compliance/friction input; measured force history and augmentation compensate,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No tactile coverage/contact-location/pressure modality,Yes; 3-axis force only,Built-in KUKA IIWA 14 force/torque sensor; EEF-frame Cartesian force,Normalized magnitude plus 3D unit direction; 4D; 512D linear projection; force-query cross-attention,Contact maintenance; mode transition; premature-prying prevention; vision conditioning,Yes; 6-DoF end-effector state,Yes; two past/current observations; action horizon 16 is separate,Not stated,No explicit object/contact state estimator; learned vision–force joint embedding,Continuous wrist RGB; initial ArUco/object-detection localization,Explicit object pose/shape model; compliance; spring force; friction; contact location,RGB appearance; EEF state; 2-step history; force augmentation; coarse initial localization,"Disambiguate alignment, geometry, contact state, and task phase",No numeric object GT; continuous measured vision/force/proprioception,Not applicable; no critic,Not applicable; imitation learning MSE objective,Not stated; evaluation success judged by complete loosening/lift,No GT curriculum; 419 real demonstrations and data augmentation,No; 3D net force does not identify contact location,Task geometry and RGB resolve spatial ambiguity; net EEF force correlates with contact/mode; low-rate synchronized observations,No force cap; no torque/contact localization; sensor range/resolution/filter/bias/normalization details omitted,Not applicable; tactile not used,Sensor/fusion ablation; Controlled real-world evaluation; Failure analysis; Qualitative force traces,"120 trials/model: vision 39%, 4D force concat 48%, projected force 57%, cross-attention 96%; edge cases 90–95%",§VI; Table I; Fig. 6–9; PDF pp.5–7,"저자들은 force를 observation으로 넣는 것만으로 generated action이 demonstration보다 큰 force를 내지 않도록 보장할 수 없으며, 단순 maximum external-force controller는 diffusion trajectory를 바꾸어 success를 낮출 수 있다고 밝힌다. Test는 주로 single-layer product의 depth range에 한정되고, deeper casing은 sharper metal tool와 battery-puncture safety measure가 필요하다. Tight-tolerance AAA에서는 작은 tool-gap misalignment가 주요 실패 원인이며, demonstration trajectory replay도 initial perturbation 때문에 30회 중 0–2회 실패할 수 있다. Robot inference에는 초기 idle action과 약 1초 inference step이 있어 human guidance보다 느렸고, 저자들은 안전을 위해 속도·impedance 조정을 적용하지 않았다. (§V-B/§VI-A,C–D, PDF pp.5–7)","Force threshold를 task success를 해치지 않고 강제하는 방법을 연구할 계획이다. 또한 battery prying 밖의 추가 contact-rich task를 탐색하고 baseline과의 더 포괄적인 비교로 framework applicability를 검증하겠다고 한다. (§VI-D/§VII, PDF p.7)",papers/2025-kang-compliant-object-prying-vision-force.md
