pdf_id,pdf_filename,local_path,sha256,paper_title,authors,year,venue,version,relevance_screening,pass_reason,analysis_file,status,page_count,duplicate_of,version_note,screening_reason,doi,arxiv,screening_source_location,read_scope,source_type,sort_index
B076,Sim-to-Real_Model-Based_and_Model-Free_Deep_Reinforcement_Learning_for_Tactile_Pushing.pdf,260918/Sim-to-Real_Model-Based_and_Model-Free_Deep_Reinforcement_Learning_for_Tactile_Pushing.pdf,65960baceadcd4dff611a934c57407099bd0917338a93f8bdbbf14b407228a47,Sim-to-Real Model-Based and Model-Free Deep Reinforcement Learning for Tactile Pushing,Max Yang; Yijiong Lin; Alex Church; John Lloyd; Dandan Zhang; David A. W. Barton; Nathan F. Lepora,2023,"IEEE Robotics and Automation Letters, 8(9), 5480-5487",Publisher version,Relevant,Not applicable,papers/2023-yang-tactile-pushing.md,completed,8,Not applicable,Selected PDF version only; no alternate version comparison,"실행 중 외부 시각 없이 TacTip과 목표 정보만으로 미지 물체를 밀며, 원시 tactile image와 tactile-derived contact-surface pose를 직접 비교한다. current object center pose와 shape를 제공하지 않은 채 국소 접촉 자세와 목표 상대 관계로 폐루프 조작을 수행하므로, 축약 tactile 표현이 어떤 정보를 유지하고 무엇을 대신하는지에 직접 근거를 제공한다.",10.1109/LRA.2023.3295236,Not stated,"Abstract and Sec. III-B, PDF pp.1-4","전체 본문 PDF pp.1-8; 방법, 보상, sim-to-real 관측 모델, 실험, Discussion/Future Work 및 참고문헌 확인",Research paper,76
B077,Su 등 - 2024 - Sim2Real Manipulation on Unknown Objects with Tactile-based Reinforcement Learning (2).pdf,260918/Su 등 - 2024 - Sim2Real Manipulation on Unknown Objects with Tactile-based Reinforcement Learning (2).pdf,304b60f5e85b07ee0383713a686f2c442d2aad38ea03a6302c5bf3aeaf3ea32a,Sim2Real Manipulation on Unknown Objects with Tactile-based Reinforcement Learning,Entong Su; Chengzhe Jia; Yuzhe Qin; Wenxuan Zhou; Annabella Macaluso; Binghao Huang; Xiaolong Wang,2024,arXiv,"arXiv v1 (2403.12170v1, 18 Mar 2024)",duplicate,Not applicable,papers/2024-su-sim2real-unknown-objects-tactile-rl.md,duplicate,8,B078,Earlier arXiv version of the same paper analyzed from the more complete ICRA publisher version B078; pagination and wording differ.,"Title, authors, method, figures, and experiments identify the same work as B078. B078 is the ICRA publisher version with DOI and is used as the canonical analysis source.",Not stated,2403.12170v1,"Title/abstract, PDF p.1; arXiv identifier footer, PDF p.1","Title, abstract, introduction, method/observation and version identity compared against B078; duplicate version, no separate detailed note",arXiv preprint,77
B078,Su 등 - 2024 - Sim2Real Manipulation on Unknown Objects with Tactile-based Reinforcement Learning.pdf,260918/Su 등 - 2024 - Sim2Real Manipulation on Unknown Objects with Tactile-based Reinforcement Learning.pdf,f6810b19801ee51016999b40337b7d5be497adacb3c075a7a9eedefbd2dd1070,Sim2Real Manipulation on Unknown Objects with Tactile-based Reinforcement Learning,Entong Su; Chengzhe Jia; Yuzhe Qin; Wenxuan Zhou; Annabella Macaluso; Binghao Huang; Xiaolong Wang,2024,"2024 IEEE International Conference on Robotics and Automation (ICRA), 9234-9241",IEEE publisher version,Relevant,Not applicable,papers/2024-su-sim2real-unknown-objects-tactile-rl.md,completed,8,Not applicable,Selected PDF version only; no alternate version comparison,"두 DIGIT의 RGB, difference, binary tactile representation을 같은 pivoting 정책에서 직접 비교하며, tactile 제거·object-angle oracle·point-cloud vision까지 통제 비교한다. 실행 actor는 current object pose를 받지 않고 tactile, joint proprioception, target angle로 동작하므로 reduced tactile이 어떤 정보를 남기며 object state 부족을 어떻게 보완하는지에 직접 답한다.",10.1109/ICRA57147.2024.10611113,2403.12170,"Abstract and Sec. III-B/IV, PDF pp.1-4","전체 publisher PDF pp.1-8; observation, reward, actor/critic, representation 및 sensor ablation, failure cases, conclusion/future work 확인",Research paper,78
B079,Thomasson 등 - 2022 - Going In Blind Object Motion Classification using Distributed Tactile Sensing for Safe Reaching in.pdf,260918/Thomasson 등 - 2022 - Going In Blind Object Motion Classification using Distributed Tactile Sensing for Safe Reaching in.pdf,ed0bccdad5bfedfc7649c9a70ce746f10ba93f5ee7496ca5f057eeb2e4ac2588,Going In Blind: Object Motion Classification using Distributed Tactile Sensing for Safe Reaching in Clutter,Rachel Thomasson; Etienne Roberge; Mark R. Cutkosky; Jean-Philippe Roberge,2022,"2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS), 1440-1446",IEEE publisher version,Partially Relevant,Not applicable,papers/2022-thomasson-going-in-blind.md,completed,7,Not applicable,Selected PDF version only; no alternate version comparison,"완전한 reactive manipulation policy를 구현하지는 않지만, object identity·pose·mobility를 모르는 clutter reaching에서 distributed tactile history로 immovable/sliding/tipping 접촉을 구분한다. wrist F/T는 분류 입력이 아니라 과부하 정지에만 쓰여 tactile의 spatial-temporal 정보와 global force safety의 실제 역할 분리를 보여준다.",10.1109/IROS47612.2022.9981924,Not stated,"Abstract, Introduction and Sec. III-IV, PDF pp.1,3-6","전체 본문 PDF pp.1-7; sensor, feature/cue pipeline, assumptions, experiments, failure analysis, conclusion/future work 확인",Research paper,79
B080,Ueno 등 - 2024 - Multi-Fingered Dragging of Unknown Objects and Orientations Using Distributed Tactile Information Th.pdf,260918/Ueno 등 - 2024 - Multi-Fingered Dragging of Unknown Objects and Orientations Using Distributed Tactile Information Th.pdf,801aaae0779dfe6aab0b16d7d6dde5d953e001d0c75e6cc5546b001670f10590,Multi-Fingered Dragging of Unknown Objects and Orientations Using Distributed Tactile Information Through Vision-Transformer and LSTM,T. Ueno; S. Funabashi; H. Ito; A. Schmitz; S. Kulkarni; T. Ogata; S. Sugano,2024,"2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS), 7445-7452",IEEE publisher version,Relevant,Not applicable,papers/2024-ueno-multifingered-dragging.md,completed,8,Not applicable,Selected PDF version only; no alternate version comparison,"current object pose·property label을 입력하지 않고 distributed 3-axis tactile, joint state, LSTM history로 unknown object의 orientation과 softness에 맞춰 dragging/grasping한다. ViT-only, LSTM-only, open-loop 비교가 있어 spatial tactile와 temporal memory가 누락된 object information을 보완하는 효과를 직접 평가한다.",10.1109/IROS58592.2024.10802283,Not stated,"Abstract, Introduction and Sec. III-IV, PDF pp.1-5","전체 본문 PDF pp.1-8; architecture, inputs/outputs, data collection, ablations, feature analysis, limitations/future work 확인",Research paper,80
B081,Ulmer 등 - 2021 - Learning Robotic Manipulation Skills Using an Adaptive Force-Impedance Action Space.pdf,260918/Ulmer 등 - 2021 - Learning Robotic Manipulation Skills Using an Adaptive Force-Impedance Action Space.pdf,0df3961d91d9065f9c5bef03fda4f22be180e5a84cdd5060014bbd775e5718fc,Learning Robotic Manipulation Skills Using an Adaptive Force-Impedance Action Space,Maximilian Ulmer; Elie Aljalbout; Sascha Schwarz; Sami Haddadin,2021,arXiv preprint,"arXiv v2 (2110.09904v2, 20 Oct 2021)",Relevant,Not applicable,papers/2021-ulmer-adaptive-force-impedance.md,completed,8,Not applicable,Selected PDF version only; no alternate version comparison,tactile은 쓰지 않지만 estimated external wrench를 high-rate adaptive force/impedance controller와 저주파 policy observation으로 분리해 사용하는 contact-rich manipulation 연구다. Wrench가 contact locality 대신 force regulation·stability·safety를 담당하는 실제 구조와 그 한계를 분석하는 데 직접 관련된다.,Not stated,2110.09904v2,"Abstract, Introduction and Secs. IV-V, PDF pp.1,3-6","전체 arXiv PDF pp.1-8; AFORCE equations, real/sim observations, controller frequencies, comparisons, limitations/future work 확인",Research paper,81
B082,Unger 등 - 2024 - ProSIP Probabilistic Surface Interaction Primitives for Learning of Robotic Cleaning of Edges.pdf,260918/Unger 등 - 2024 - ProSIP Probabilistic Surface Interaction Primitives for Learning of Robotic Cleaning of Edges.pdf,35cda00c4b10e41de74498296fd14e08a91e6cb01dcd4e37f398396b1a90b408,ProSIP: Probabilistic Surface Interaction Primitives for Learning of Robotic Cleaning of Edges,Christoph Unger; Christian Hartl-Nesic; Minh Nhat Vu; Andreas Kugi,2024,"2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS), 5956-5963",IEEE publisher version,PASS,"Known CAD/reconstructed surface와 annotated surface path에서 cleaning trajectory를 생성하는 learning-from-demonstration 연구다. 실행 시 tactile/F/T가 핵심 observation이 아니며 force/torque는 향후 추가할 signal로만 언급되어, reduced tactile·F/T contact information 보완 질문에 직접 근거를 제공하지 않는다.",Not applicable,passed,8,Not applicable,Single selected file; version identity pending screening,Surface-contact task이지만 current object uncertainty를 contact sensing으로 보완하지 않고 full geometry와 surface path를 사전 입력한다. F/T/tactile manipulation evidence가 없어 PASS한다.,10.1109/IROS58592.2024.10802255,Not stated,"Abstract and Sec. III-IV, PDF pp.1-4; Conclusion/Future Work, PDF pp.7-8","Title, abstract, introduction, related work, problem/method overview, execution observations, results, conclusion/future work 확인 후 PASS",Research paper,82
B083,Vuong 및 Pham - 2023 - Reinforcement Learning with Parameterized Manipulation Primitives for Robotic Assembly.pdf,260918/Vuong 및 Pham - 2023 - Reinforcement Learning with Parameterized Manipulation Primitives for Robotic Assembly.pdf,352344faf4bc2709eac1d040a5706c6d17f1abd49fad44ecc58994a50720ce0b,Reinforcement Learning with Parameterized Manipulation Primitives for Robotic Assembly,Nghia Vuong; Quang-Cuong Pham,2023,arXiv preprint,"arXiv v1 (2306.06679v1, 11 Jun 2023)",Relevant,Not applicable,papers/2023-vuong-parameterized-primitives-assembly.md,completed,8,Not applicable,Selected PDF version only; no alternate version comparison,"peg-hole relative pose와 6-axis F/T를 관측하거나 action feasibility/primitive termination에 사용해 contact-rich insertion을 수행한다. 특히 저자 스스로 force를 접촉 상태 분리에는 쓰지만 policy는 주로 kinematics에 의존하여 sim-to-real 실패가 생긴다고 분석하고 tactile 통합을 future work로 제시하므로, F/T가 제공하는 범위와 부족한 local contact state를 직접 보여준다.",Not stated,2306.06679v1,"Abstract and Sec. IV-V, PDF pp.1,3-7","전체 arXiv PDF pp.1-8; state/action/reward, F/T hardware, assumptions, sim-real experiments, failure modes, conclusion/future work 확인",Research paper,83
B084,Wang 등 - 2024 - Task-Driven Reinforcement Learning With Action Primitives for Long-Horizon Manipulation Skills.pdf,260918/Wang 등 - 2024 - Task-Driven Reinforcement Learning With Action Primitives for Long-Horizon Manipulation Skills.pdf,1278413ab61c56e803d66628c53602491f92a640652de2707129b9a440e6485c,Task-Driven Reinforcement Learning With Action Primitives for Long-Horizon Manipulation Skills,Hao Wang; Hao Zhang; Lin Li; Zhen Kan; Yongduan Song,2024,"IEEE Transactions on Cybernetics, 54(8), 4513-4526",IEEE publisher version,PASS,"LTL progression과 parameterized action primitives로 long-horizon simulator manipulation을 학습하는 연구다. Object pose/state를 environment observation으로 직접 제공하며 tactile, F/T, wrench 또는 contact-information 보완 구조를 핵심 observation으로 다루지 않아 현재 Review 질문과 직접 관련이 없다.",Not applicable,passed,14,Not applicable,Single selected file; version identity pending screening,Peg insertion 예제가 있으나 contact sensing의 정보 역할이나 F/T/tactile 한계를 분석하지 않고 simulator state와 predefined primitives에 의존하므로 PASS한다.,10.1109/TCYB.2023.3298195,Not stated,"Abstract and Sec. II-B/IV, PDF pp.1-3,10-13; Conclusion, PDF p.13","Title, abstract, introduction, method/observation definition, experiment and contact-rich example, conclusion 확인 후 PASS",Research paper,84
B085,Wang 등 - 2026 - Contact SLAM An Active Tactile Exploration Policy Based on Physical Reasoning Utilized in Robotic F.pdf,260918/Wang 등 - 2026 - Contact SLAM An Active Tactile Exploration Policy Based on Physical Reasoning Utilized in Robotic F.pdf,c8de578a2013e0ef05302ffc5560a2944f1eb1992dfa7508004b6a0a8b757f6e,Contact SLAM: An Active Tactile Exploration Policy Based on Physical Reasoning Utilized in Robotic Fine Blind Manipulation Tasks,Gaozhao Wang; Xing Liu; Zhenduo Ye; Zhengxiong Liu; Panfeng Huang,2026,arXiv preprint,"arXiv v2 (2512.10481v2, 26 Jan 2026)",Relevant,Not applicable,papers/2026-wang-contact-slam.md,completed,9,Not applicable,Selected PDF version only; no alternate version comparison,"continuous vision 없이 두 Tac3D의 distributed force·resultant force/torque·marker displacement와 known geometry를 결합해 grasped object와 environment의 relative pose/contact region을 추정하고 assembly/pushing한다. Net wrench가 가능한 범위를 정확한 geometry, quasi-static/single-rigid-grasp constraints, particle filtering이 어떻게 보완하는지 명시해 두 핵심 Review 질문에 직접 답한다.",Not stated,2512.10481v2,"Abstract, Problem Formulation and Sec. III, PDF pp.1-5","전체 arXiv PDF pp.1-9; assumptions, tactile/wrench equations, factor graph, particle filter, active exploration, ablations/comparison, failures, conclusion/future work 확인",Research paper,85
B086,Wu 등 - 2019 - MAT Multi-Fingered Adaptive Tactile Grasping via Deep Reinforcement Learning.pdf,260918/Wu 등 - 2019 - MAT Multi-Fingered Adaptive Tactile Grasping via Deep Reinforcement Learning.pdf,e73a3bfccf9ed4491e98f206e05b0bda76f007b04a4a7148bde9ea140c534a2e,MAT: Multi-Fingered Adaptive Tactile Grasping via Deep Reinforcement Learning,Bohan Wu; Iretiayo Akinola; Jacob Varley; Peter K. Allen,2019,Conference on Robot Learning (CoRL 2019),arXiv v2 (10 October 2019; CoRL 2019 paper with appendix),Relevant,Not applicable,papers/2019-wu-mat-adaptive-tactile-grasping.md,completed,20,Not applicable,Selected PDF version only; no alternate version comparison,"초기 vision grasp 이후 실행 vision 없이 binary tactile, tactile-cell 위치, finger proprioception과 20-step history로 grasp를 수정한다. Binary 변환이 연속 force magnitude를 제거한 뒤 어떤 spatial/temporal 정보를 남기며 current object pose 부재를 어떻게 보완하는지, 그리고 simulator reward·termination과 runtime observation을 어떻게 분리하는지 직접 분석할 수 있다.",Not stated,1909.04787v2,"Title/Abstract/§I/§III-A–C/§IV-A, PDF pp.1–6","PDF pp.1–20 전체(본문, conclusion, Appendix A–D); observation/action/reward, ablation, real-robot results, limitations-relevant discussion을 확인하고 Figures 2/5 및 Tables 1–4 렌더 검토.",Research paper,86
B087,Wu 등 - 2025 - ViTacGen Robotic Pushing With Vision-to-Touch Generation.pdf,260918/Wu 등 - 2025 - ViTacGen Robotic Pushing With Vision-to-Touch Generation.pdf,f7a763f3654902bd13b66490914f812dab728f12000145c16cdd56c984560782,ViTacGen: Robotic Pushing With Vision-to-Touch Generation,Zhiyuan Wu; Yijiong Lin; Yongqiang Zhao; Xuyang Zhang; Zhuo Chen; Nathan F. Lepora; Shan Luo,2025,"IEEE Robotics and Automation Letters, Vol. 10, No. 11",IEEE publisher version (November 2025),Relevant,Not applicable,papers/2025-wu-vitacgen-vision-to-touch-pushing.md,completed,8,Not applicable,Selected PDF version only; no alternate version comparison,"실제 tactile sensor 없이 RGB sequence에서 contact-depth representation을 생성해 pushing policy에 넣고 visual-only, tactile-only, visual+tactile 조건을 비교한다. 생성 tactile이 contact geometry를 보완하지만 local force와 fine geometry를 포함하지 않는다고 저자가 명시하여, tactile representation의 retained/removed information과 modality evidence를 직접 제공한다.",10.1109/LRA.2025.3621941,Not stated,"Title/Abstract/§I/§III/§IV-A, PDF pp.1–4","PDF pp.1–8 전체; architecture, observations, reward/success, modality baselines, ablations, real-robot tests, conclusion/limitations를 확인하고 Figures 2/5와 Tables II–VI 렌더 검토.",Research paper,87
